,Cities,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
31,storsteinnes,69.24,19.23,4,55,75,11.8,NO,1589608931
32,olga,43.74,135.29,15.39,65,100,3.06,RU,1589608931
33,forestville,38.85,-76.88,23.33,60,20,3.6,US,1589608794
34,thompson,55.74,-97.86,-1,74,75,1.5,CA,1589608895
35,buin,-33.73,-70.75,12,54,0,1.5,CL,1589608931
36,busselton,-33.65,115.33,18.89,35,21,3.41,AU,1589608932
37,leh,34.17,77.58,9.86,36,0,1.78,IN,1589608932
38,airai,-8.93,125.41,21.52,86,78,2.26,TL,1589608932
39,kilrush,52.64,-9.48,8,87,75,0.5,IE,1589608932
40,puerto ayora,-0.74,-90.35,23.33,93,53,1.79,EC,1589608932
41,college,64.86,-147.8,17,23,20,5.1,US,1589608840
42,pemangkat,1.17,108.97,29.42,74,26,3.29,ID,1589608933
43,tiarei,-17.53,-149.33,27,74,25,3.1,PF,1589608933
44,attawapiskat,,,,,,,,
45,alyangula,-13.85,136.42,29,62,75,5.7,AU,1589608933
46,rikitea,-23.12,-134.97,23.72,85,73,9.16,PF,1589608934
47,khandyga,62.67,135.6,16.09,45,1,3.62,RU,1589608934
48,la ronge,55.1,-105.28,5,52,20,2.6,CA,1589608934
49,vizinga,61.07,50.1,2.87,95,100,4.47,RU,1589608934
50,yakeshi,49.28,120.73,21.16,35,91,10.8,CN,1589608935
51,conceicao do araguaia,-8.26,-49.26,22.71,93,27,0.34,BR,1589608935
52,barrow,71.29,-156.79,-2,79,90,7.2,US,1589608935
53,saskylakh,71.92,114.08,0.83,97,100,2.53,RU,1589608935
54,redcliffe,-27.23,153.1,23.89,53,40,6.2,AU,1589608935
55,hofn,64.25,-15.21,2.55,71,13,5.38,IS,1589608936
56,severo-kurilsk,50.68,156.12,3.23,83,90,1.65,RU,1589608936
57,vaitupu,,,,,,,,
58,canyon lake,29.88,-98.26,19,88,90,8.7,US,1589608936
59,lake havasu city,34.48,-114.32,27.22,21,1,0.97,US,1589608937
60,tarudant,,,,,,,,
61,erzin,36.96,36.2,27.78,53,0,0.45,TR,1589608937
62,krasnyy chikoy,50.36,108.75,4.59,80,100,6.56,RU,1589608937
63,miyako,39.64,141.95,17.71,65,100,5.02,JP,1589608938
64,sitka,57.05,-135.33,11,76,40,0.65,US,1589608938
65,quixada,-4.97,-39.02,22.13,96,100,0.62,BR,1589608938
66,nipawin,53.37,-104,5,41,90,3.1,CA,1589608938
67,zaysan,47.47,84.87,21.64,36,99,4.79,KZ,1589608867
68,henties bay,-22.12,14.28,16.45,68,0,2.32,NA,1589608939
69,progreso,21.28,-89.67,28,78,5,5.1,MX,1589608939
70,leningradskiy,69.38,178.42,-1.24,96,20,1.56,RU,1589608939
71,galveston,29.37,-94.97,25.56,88,40,6.7,US,1589608805
72,georgetown,5.41,100.34,31,74,40,3.1,MY,1589608939
73,lilongwe,-13.97,33.79,13,82,0,1.5,MW,1589608940
74,yuzhno-kurilsk,44.03,145.86,7.11,86,100,7,RU,1589608940
75,klobuck,50.9,18.94,11.11,83,9,4.37,PL,1589608940
76,mount gambier,-37.83,140.77,16,55,40,4.1,AU,1589608940
77,xichang,27.9,102.26,28.97,33,38,2.05,CN,1589608940
78,sakakah,29.97,40.21,29,13,98,3.6,SA,1589608941
79,pong,19.15,100.28,36,47,0,1.5,TH,1589608941
80,lebu,-37.62,-73.65,13.51,91,63,2.98,CL,1589608941
81,qaanaaq,77.48,-69.36,-6.1,92,0,1.53,GL,1589608941
82,lata,40.16,-8.33,15,73,0,4.47,PT,1589608942
83,poum,-20.23,164.02,24.03,70,51,3.32,NC,1589608942
84,husavik,66.04,-17.34,-3,86,40,4.1,IS,1589608942
85,srednekolymsk,67.45,153.68,6.93,60,91,1.53,RU,1589608942
86,olinda,-8.01,-34.86,25,88,75,3.1,BR,1589608942
87,warrnambool,-38.38,142.48,15.56,59,0,3.22,AU,1589608943
88,kununurra,-15.77,128.73,32,25,97,4.6,AU,1589608943
89,assiniboia,49.63,-105.98,10.47,59,9,2.87,CA,1589608905
90,taolanaro,,,,,,,,
91,carnarvon,-24.87,113.63,28.41,18,0,1.11,AU,1589608943
92,katsuura,35.13,140.3,17.78,94,100,2.24,JP,1589608944
93,gimli,50.63,-96.99,6.11,71,66,3.9,CA,1589608944
94,biloela,-24.42,150.5,23.91,44,38,5.68,AU,1589608944
95,bluff,-46.6,168.33,11.13,81,47,3.3,NZ,1589608944
96,ribeira grande,38.52,-28.7,17.5,88,99,6.01,PT,1589608944
97,sentyabrskiy,,,,,,,,
98,smoky lake,54.12,-112.47,7.04,74,39,1.62,CA,1589608945
99,port alfred,-33.59,26.89,15.56,64,16,2.24,ZA,1589608945
100,te anau,-45.42,167.72,6.65,75,1,0.2,NZ,1589608945
101,pochutla,15.74,-96.47,27.22,80,6,1.76,MX,1589608945
102,svolvaer,68.23,14.57,5,65,99,2.24,NO,1589608946
103,bambous virieux,-20.34,57.76,26.67,83,20,1.5,MU,1589608946
104,lucapa,-8.42,20.74,18.48,56,14,2.06,AO,1589608946
105,tuatapere,-46.13,167.68,9.04,87,27,0.96,NZ,1589608946
106,canavieiras,-15.68,-38.95,22.62,92,44,1.12,BR,1589608947
107,dongsheng,39.82,109.98,13.69,29,0,10.92,CN,1589608947
108,bandarbeyla,9.49,50.81,32.71,53,0,7.74,SO,1589608947
109,hobart,-42.88,147.33,16.11,44,20,5.1,AU,1589608819
110,butaritari,3.07,172.79,28.57,77,86,4.42,KI,1589608947
111,hithadhoo,-0.6,73.08,29.32,77,63,8.08,MV,1589608948
112,hambantota,6.12,81.12,27.71,78,100,12.22,LK,1589608948
113,bergerac,44.83,0.5,12.78,93,0,0.5,FR,1589608948
114,anito,12.45,125.29,30.28,71,47,5.68,PH,1589608948
115,halmstad,56.67,12.86,10,76,92,10.3,SE,1589608949
116,saldanha,-33.01,17.94,7,81,33,1,ZA,1589608949
117,mundargi,15.22,75.9,35.53,29,76,2.77,IN,1589608949
118,tiksi,71.69,128.87,-0.21,98,97,5.66,RU,1589608949
119,bredasdorp,-34.53,20.04,6,87,24,1.5,ZA,1589608950
120,west wendover,40.74,-114.07,15,33,1,8.7,US,1589608950
121,ivanteyevka,55.97,37.92,12.22,53,32,4,RU,1589608950
122,namibe,-15.2,12.15,24.41,56,0,1.13,AO,1589608950
123,steamboat springs,40.48,-106.83,5.56,100,75,1.5,US,1589608951
124,grindavik,63.84,-22.43,3,69,20,4.1,IS,1589608951
125,talnakh,69.49,88.4,6,60,72,12,RU,1589608951
126,kruisfontein,-34,24.73,11.48,79,19,3.45,ZA,1589608951
127,vanimo,-2.67,141.3,29.66,75,72,4.76,PG,1589608951
128,jining,35.41,116.58,32.32,28,99,7.57,CN,1589608952
129,tuktoyaktuk,69.45,-133.04,-4,85,90,6.7,CA,1589608952
130,tura,25.52,90.22,31.67,50,2,2.39,IN,1589608932
131,schubelbach,47.17,8.93,8.33,90,72,0.57,CH,1589608952
132,ulaanbaatar,47.91,106.88,4,38,75,11,MN,1589608953
133,maryborough,-25.53,152.7,21.67,71,38,3.58,AU,1589608953
134,palabuhanratu,,,,,,,,
135,arraial do cabo,-22.97,-42.03,21.51,77,100,3.53,BR,1589608699
136,kaitangata,-46.28,169.85,10,67,9,0.45,NZ,1589608954
137,ketchikan,55.34,-131.65,12,81,90,5.1,US,1589608954
138,dikson,73.51,80.55,-1.1,97,90,6.02,RU,1589608954
139,aswan,24.09,32.91,33.51,27,0,4.82,EG,1589608954
140,nueve de julio,-35.44,-60.88,15.56,61,0,0.89,AR,1589608955
141,barentsburg,,,,,,,,
142,tsihombe,,,,,,,,
143,ancud,-41.87,-73.82,16.11,100,40,3.1,CL,1589608955
144,dicabisagan,17.08,122.42,29.19,75,100,7.16,PH,1589608955
145,zhanaozen,43.3,52.8,17.92,41,64,4.58,KZ,1589608956
146,francisco sa,-16.48,-43.49,18.88,93,63,1.93,BR,1589608956
147,souillac,-20.52,57.52,22,83,20,1.5,MU,1589608956
148,mar del plata,-38,-57.56,16.67,87,0,5.1,AR,1589608751
149,faanui,-16.48,-151.75,28.15,74,7,3.27,PF,1589608957
150,pelym,61.01,62,14.09,35,97,1.61,RU,1589608957
151,longyearbyen,78.22,15.64,2,69,20,5.7,SJ,1589608957
152,jamestown,42.1,-79.24,11.11,100,1,2.1,US,1589608835
153,honningsvag,70.98,25.97,4.06,73,0,5.74,NO,1589608957
154,biak,-0.91,122.88,30.17,64,47,1.57,ID,1589608958
155,hella,67.2,14.43,3,64,75,6.7,NO,1589608958
156,hasaki,35.73,140.83,18,93,75,5.1,JP,1589608958
157,nalut,30.33,10.85,28.55,13,0,8.34,LY,1589608958
158,choix,26.71,-108.32,22.42,39,0,1.32,MX,1589608959
159,manggar,-2.88,108.27,29.42,78,85,4.72,ID,1589608959
160,choma,-16.81,26.95,15.63,59,0,2.82,ZM,1589608959
161,bengkulu,-3.8,102.27,30.63,66,35,4.15,ID,1589608959
162,mahebourg,-20.41,57.7,22,83,20,1.5,MU,1589608960
163,vestmannaeyjar,63.44,-20.27,5.01,69,14,4.43,IS,1589608960
164,marcona,,,,,,,,
165,bilibino,68.05,166.44,3.45,73,0,2.26,RU,1589608960
166,bethel,41.37,-73.41,18,93,90,5.7,US,1589608961
167,dillon,34.42,-79.37,17.22,100,1,1.5,US,1589608961
168,grand river south east,,,,,,,,
169,ribas do rio pardo,-20.44,-53.76,15.67,94,60,2.34,BR,1589608961
170,new norfolk,-42.78,147.06,16.11,66,61,2.24,AU,1589608962
171,aykhal,66,111.5,8,65,90,2,RU,1589608962
172,beeskow,52.17,14.25,10.56,60,3,4.02,DE,1589608962
173,ust-kut,56.79,105.77,12.24,39,80,3.41,RU,1589608962
174,buala,-8.14,159.59,29.14,72,59,1.56,SB,1589608963
175,kindersley,51.47,-109.17,7,42,20,5.1,CA,1589608963
176,galle,6.04,80.22,27.58,87,100,5.36,LK,1589608963
177,vestmanna,62.16,-7.17,3,59,88,10.8,FO,1589608963
178,maralal,1.1,36.7,18.95,75,57,1.84,KE,1589608964
179,naze,28.37,129.48,26,88,75,7.2,JP,1589608964
180,tabas,33.6,56.92,28.21,15,0,0.7,IR,1589608964
181,mount pleasant,32.79,-79.86,20.56,100,48,3.26,US,1589608964
182,karamea,,,,,,,,
183,verkhnevilyuysk,63.45,120.32,18.03,33,48,2.87,RU,1589608965
184,codrington,-38.27,141.97,14.97,55,0,2.35,AU,1589608965
185,nizhneyansk,,,,,,,,
186,awjilah,29.11,21.29,26.98,23,0,4.55,LY,1589608966
187,clyde river,70.47,-68.59,-8,100,90,4.1,CA,1589608966
188,bitkine,11.98,18.21,31.92,31,37,1.92,TD,1589608966
189,nikolskoye,59.7,30.79,7.22,70,85,3,RU,1589608966
190,senneterre,48.38,-77.23,6,93,90,4.1,CA,1589608966
191,buguruslan,53.66,52.44,8.23,78,99,5.98,RU,1589608967
192,narsaq,60.92,-46.05,3,74,100,0.86,GL,1589608967
193,juba,4.85,31.58,25.01,84,100,3.5,SS,1589608847
194,belushya guba,,,,,,,,
195,gargzdai,55.71,21.4,9,87,75,4.6,LT,1589608968
196,marsh harbour,26.54,-77.06,26.12,81,96,6.64,BS,1589608803
197,cherskiy,68.75,161.3,9.2,51,0,3.83,RU,1589608968
198,mys shmidta,,,,,,,,
199,iqaluit,63.75,-68.51,-1,74,40,2.1,CA,1589608969
200,mayor pablo lagerenza,-19.93,-60.77,13.06,45,12,1.18,PY,1589608969
201,cascais,38.7,-9.42,15,70,0,2.08,PT,1589608824
202,muyezerskiy,63.93,31.65,5.4,63,66,1.73,RU,1589608969
203,esperance,-33.87,121.9,17,63,90,5.1,AU,1589608970
204,camacha,33.08,-16.33,16,67,40,5.1,PT,1589608970
205,norman wells,65.28,-126.83,0,97,90,4.1,CA,1589608970
206,muskegon,43.3,-86.13,14,62,1,3.1,US,1589608970
207,bridlington,54.08,-0.19,8.33,87,100,3.1,GB,1589608971
208,coihaique,-45.58,-72.07,10,93,100,3.97,CL,1589608971
209,xining,36.62,101.77,20.26,22,0,1.41,CN,1589608837
210,jumla,29.27,82.18,22.78,84,0,0.89,NP,1589608971
211,san andres,12.58,-81.7,28,83,20,4.1,CO,1589608971
212,astana,51.18,71.45,23.89,40,40,6,KZ,1589608868
213,kavieng,-2.57,150.8,29.68,78,45,5.95,PG,1589608972
214,trenggalek,-8.05,111.72,28.51,76,74,3.69,ID,1589608814
215,alotau,,,,,,,,
216,cabo san lucas,22.89,-109.91,22.22,77,1,6.15,MX,1589608973
217,itarema,-2.92,-39.92,24.3,92,99,4.29,BR,1589608973
218,esil,51.96,66.4,21.65,46,13,8.37,KZ,1589608973
219,port elizabeth,-33.92,25.57,13,66,12,3.1,ZA,1589608841
220,khatanga,71.97,102.5,2.33,86,69,4.38,RU,1589608973
221,mascota,20.52,-104.78,16.55,31,15,1.18,MX,1589608974
222,ambanja,-13.68,48.45,27,77,59,0.45,MG,1589608974
223,kuito,-12.38,16.93,12.12,54,11,1.48,AO,1589608974
224,hearst,49.68,-83.67,3.19,98,12,2.1,CA,1589608974
225,asau,46.43,26.4,9.44,72,74,2.11,RO,1589608975
226,biltine,14.53,20.92,31.18,11,2,5.34,TD,1589608975
227,buta,2.79,24.73,24.97,77,95,0.22,CD,1589608975
228,nanortalik,60.14,-45.24,3.17,91,100,3.35,GL,1589608975
229,yellowknife,62.46,-114.35,0,94,75,3.6,CA,1589608976
230,torbay,47.67,-52.73,1.67,97,75,5.1,CA,1589608976
231,atbasar,51.8,68.33,22.24,43,41,6.79,KZ,1589608976
232,constitucion,-35.33,-72.42,14.45,89,24,4.5,CL,1589608976
233,trairi,-3.28,-39.27,23.71,95,98,2.26,BR,1589608977
234,samusu,,,,,,,,
235,timmins,48.47,-81.33,4,100,75,1.5,CA,1589608977
236,tchaourou,8.89,2.6,23.71,94,64,2.13,BJ,1589608977
237,cidreira,-30.18,-50.21,12.57,72,27,5.03,BR,1589608977
238,hilton head island,32.22,-80.75,22.78,94,90,3.14,US,1589608978
239,boke,10.94,-14.3,25.23,79,0,1.33,GN,1589608978
240,dargaville,-35.93,173.88,13.41,87,69,1.73,NZ,1589608978
241,belyy yar,53.6,91.39,19,42,100,2,RU,1589608978
242,erenhot,43.65,111.98,11.09,38,12,11.78,CN,1589608887
243,bargal,,,,,,,,
244,mayo,38.89,-76.51,23.33,67,23,2.24,US,1589608979
245,vung tau,10.35,107.08,30.35,69,93,3.73,VN,1589608979
246,dno,57.83,29.96,5.47,90,96,3.66,RU,1589608980
247,zheleznodorozhnyy,55.75,38,12.22,53,26,4,RU,1589608980
248,port hardy,50.7,-127.42,13,62,90,2.6,CA,1589608973
249,pacific grove,36.62,-121.92,13.89,87,78,0.45,US,1589608891
250,sao paulo do potengi,-5.89,-35.76,24,100,75,2.1,BR,1589608981
251,abu samrah,35.3,37.18,30.41,15,0,0.95,SY,1589608981
252,bucelas,38.9,-9.12,14.44,100,20,2.6,PT,1589608981
253,balikpapan,-1.27,116.83,30.2,73,61,2.75,ID,1589608982
254,tornio,65.85,24.15,5,56,99,4.6,FI,1589608982
255,saint george,37.1,-113.58,23,23,1,1.05,US,1589608982
256,komsomolskiy,40.43,71.72,22,43,100,2.1,UZ,1589608982
257,galesong,-5.32,119.37,30.83,70,94,2.63,ID,1589608983
258,ulagan,50.63,87.96,19.57,41,100,3.94,RU,1589608983
259,kodiak,57.79,-152.41,8,87,90,6.7,US,1589608983
260,caucaia,-3.74,-38.65,26,88,75,1.5,BR,1589608983
261,tumannyy,,,,,,,,
262,rapar,23.57,70.63,34.18,43,0,6.49,IN,1589608984
263,ferme-neuve,46.7,-75.45,7.99,94,95,2.45,CA,1589608984
264,lolua,,,,,,,,
265,geraldton,-28.77,114.6,25,47,79,6.7,AU,1589608984
266,volchansk,59.94,60.08,12.59,43,99,3.57,RU,1589608984
267,ust-kamchatsk,,,,,,,,
268,sao joao da barra,-21.64,-41.05,21.81,79,100,2.39,BR,1589608985
269,pevek,69.7,170.31,0.36,93,0,1.63,RU,1589608985
270,eskasem,,,,,,,,
271,lorengau,-2.02,147.27,27.56,79,100,1.45,PG,1589608986
272,lithakia,37.72,20.83,20,56,62,2.34,GR,1589608986
273,warburton,31.55,73.83,32,46,0,2.6,PK,1589608986
274,davila,18.47,120.58,26,94,90,2.6,PH,1589608986
275,yerbogachen,61.28,108.01,8.91,64,100,1.28,RU,1589608986
276,rio gallegos,-51.62,-69.22,4,92,63,10.8,AR,1589608987
277,hefei,31.86,117.28,29,51,0,3,CN,1589608833
278,barguzin,53.62,109.62,7.38,61,100,1.33,RU,1589608987
279,kaputa,-8.47,29.66,22.01,68,2,2.17,ZM,1589608988
280,hamilton,39.18,-84.53,18,88,90,1.74,US,1589608755
281,vila franca do campo,37.72,-25.43,15,93,75,2.6,PT,1589608988
282,homer,59.64,-151.55,10,66,1,5.7,US,1589608988
283,klaksvik,62.23,-6.59,3,59,94,10.8,FO,1589608988
284,svetlyy,54.67,20.13,10,76,75,10,RU,1589608989
285,scottsburgh,,,,,,,,
286,port lincoln,-34.73,135.87,16.52,49,0,0.67,AU,1589608989
287,taksimo,56.34,114.88,5.94,80,100,1,RU,1589608989
288,chemal,51.41,86,17.33,64,100,1.57,RU,1589608990
289,topeka,39.05,-95.68,18,88,90,1.5,US,1589608990
290,mayya,61.73,130.28,20,22,0,2,RU,1589608990
291,lagoa,39.05,-27.98,17.51,88,97,4.97,PT,1589608990
292,ambam,2.38,11.28,21.34,98,83,0.54,CM,1589608990
293,saint-georges,12.06,-61.75,27,83,40,6.2,GD,1589608982
294,kyabe,9.45,18.94,28.62,59,39,3.37,TD,1589608991
295,port hedland,-20.32,118.57,32,7,0,6.7,AU,1589608991
296,donskoye,45.46,41.97,21,52,56,5,RU,1589608991
297,blagoyevo,63.37,47.92,8.13,56,100,1.65,RU,1589608992
298,san juan,-31.54,-68.54,15.38,34,24,2.3,AR,1589608992
299,mondeville,49.17,-0.32,5,100,0,1.5,FR,1589608992
300,griffith,41.53,-87.42,15,82,75,2.4,US,1589608993
301,dali,25.7,100.18,25.4,37,20,2.99,CN,1589608993
302,lamu,-2.27,40.9,27.74,74,26,7.28,KE,1589608993
303,kloulklubed,7.04,134.26,31,66,75,8.7,PW,1589608994
304,shenzhen,22.55,114.07,32,62,20,3.6,CN,1589608994
305,belfast,54.58,-5.93,8.33,87,100,4.6,GB,1589608994
306,ler,8.3,30.14,31.18,49,1,3.21,SS,1589608994
307,arlit,18.74,7.39,30.35,12,0,3.68,NE,1589608994
308,victor harbor,-35.57,138.62,16.11,48,0,1.65,AU,1589608995
309,alofi,-19.06,-169.92,26,78,90,3.1,NU,1589608995
310,tahe,52.33,124.73,19.37,35,26,4.85,CN,1589608995
311,sioux lookout,50.1,-91.92,7,75,40,1.5,CA,1589608864
312,newport,51.59,-3,8.89,85,100,0.58,GB,1589608759
313,kuche,,,,,,,,
314,lavrentiya,65.58,-171,0.26,93,2,4.69,RU,1589608996
315,den helder,52.96,4.76,12,76,90,4.6,NL,1589608708
316,gogrial,8.53,28.1,30.29,50,9,3.73,SS,1589608996
317,mocuba,-16.84,36.99,20.39,85,3,1.26,MZ,1589608997
318,shakawe,-18.37,21.85,14.89,39,0,1.97,BW,1589608997
319,russell,32.35,-85.2,21,93,1,2.29,US,1589608997
320,haines junction,60.75,-137.51,9.82,56,29,1.98,CA,1589608997
321,sibolga,1.74,98.78,32,60,100,3.23,ID,1589608998
322,gat,31.61,34.76,29.44,48,86,0.45,IL,1589608774
323,thinadhoo,0.53,72.93,29.44,76,34,8.25,MV,1589608998
324,kathmandu,27.72,85.32,28,51,40,1.5,NP,1589608883
325,lake wales,27.9,-81.59,23,100,40,3.1,US,1589608998
326,paducah,37.08,-88.6,20,94,90,3.1,US,1589608855
327,malakal,9.53,31.66,31.93,45,15,3.86,SS,1589608999
328,aiken,33.58,-81.6,18.89,88,1,2.1,US,1589608999
329,pucallpa,-8.38,-74.55,20.44,91,73,0.94,PE,1589608999
330,praya,14.92,-23.51,21,77,20,6.2,CV,1589608984
331,zeya,53.75,127.27,17.7,29,88,1.67,RU,1589609000
332,labuhan,-6.88,112.21,30.94,64,45,2.27,ID,1589609000
333,sri aman,1.24,111.46,32,75,75,1.5,MY,1589609000
334,khormuj,,,,,,,,
335,pringsewu,-5.36,104.97,31.41,67,38,2.46,ID,1589609001
336,chagda,,,,,,,,
337,eydhafushi,5.1,73.07,29.52,73,59,7.81,MV,1589609001
338,kangaatsiaq,68.31,-53.46,0.91,93,0,3.07,GL,1589609001
339,ilulissat,69.22,-51.1,-1,100,0,1.5,GL,1589609002
340,languyan,5.26,120.08,30.83,71,75,2.39,PH,1589609002
341,lugovoy,42.95,72.76,19.95,53,59,2.42,KZ,1589609002
342,afantou,36.29,28.16,27.22,54,0,2.1,GR,1589609002
343,saint-pierre,-21.34,55.48,27,57,20,2.1,RE,1589609002
344,baykit,61.67,96.37,12.59,37,100,4.49,RU,1589609003
345,alvaraes,-3.22,-64.8,22.86,98,87,0.34,BR,1589609003
346,kutum,14.2,24.67,28.41,13,6,0.95,SD,1589609003
347,lodja,-3.48,23.43,24.56,81,86,0.74,CD,1589609003
348,cap malheureux,-19.98,57.61,26.67,66,2,1.34,MU,1589609004
349,chicama,-7.84,-79.15,20.83,80,69,1.77,PE,1589609004
350,jahrom,,,,,,,,
351,martapura,-3.42,114.85,31.57,71,52,2.52,ID,1589609004
352,habra,22.83,88.63,36,60,0,3.6,IN,1589609005
353,calama,-22.47,-68.93,7,14,0,9.8,CL,1589609005
354,katha,,,,,,,,
355,bandon,51.75,-8.74,7.78,75,75,2.6,IE,1589609005
356,san antonio,29.42,-98.49,19,93,90,3.1,US,1589608914
357,ust-ilimsk,58,102.66,12.95,36,3,2.14,RU,1589609006
358,fairbanks,64.84,-147.72,17,23,1,4.6,US,1589609006
359,umzimvubu,,,,,,,,
360,morant bay,17.88,-76.41,28,69,20,9.3,JM,1589609006
361,dingle,11,122.67,32.78,58,82,3.15,PH,1589609007
362,rockland,41.17,-74.05,19.44,94,83,5.15,US,1589609007
363,chifeng,42.27,118.96,22.49,34,84,3.75,CN,1589609007
364,luanda,-8.84,13.23,23.88,90,85,3.47,AO,1589609008
365,los lunas,34.81,-106.73,22,17,1,3.56,US,1589609009
366,tasiilaq,65.61,-37.64,2,64,100,4.6,GL,1589609010
367,alunitdag,,,,,,,,
368,ames,42.03,-93.62,14,81,1,2.96,US,1589608755
369,pisco,-13.7,-76.22,18,93,90,3.1,PE,1589609010
370,sai buri,6.7,101.62,33,66,20,4.6,TH,1589609011
371,gulshat,,,,,,,,
372,kahama,-3.83,32.6,20.84,80,24,2.33,TZ,1589609011
373,amderma,,,,,,,,
374,coahuayana,18.73,-103.68,21.28,68,0,1.18,MX,1589609012
375,bucerias,20.75,-105.33,19.88,61,1,1.56,MX,1589609012
376,sur,22.57,59.53,31.32,43,0,2.35,OM,1589609012
377,puerto escondido,15.85,-97.07,28.47,71,6,1.72,MX,1589608921
378,san patricio,19.22,-104.7,21.46,69,0,1.49,MX,1589609012
379,fort nelson,58.81,-122.7,12,54,75,2.1,CA,1589609013
380,nguruka,-5.11,31.04,20.58,89,22,1.77,TZ,1589609013
381,idritsa,56.33,28.9,6.09,88,97,4.84,RU,1589609013
382,mayabon,9.1,123.17,31,74,75,4.1,PH,1589609013
383,ouesso,1.61,16.05,23.19,94,87,0.99,CG,1589609014
384,peterhead,57.51,-1.8,9,57,95,5.7,GB,1589609014
385,zhigansk,66.77,123.37,10.91,63,0,3.51,RU,1589609014
386,evensk,61.95,159.23,4.42,72,66,10.2,RU,1589609015
387,grand gaube,-20.01,57.66,26.67,66,2,1.34,MU,1589609016
388,saint-joseph,-21.37,55.62,27,57,20,2.1,RE,1589609016
389,carmelo,-33.99,-58.29,17,76,0,3.1,UY,1589609016
390,umm lajj,25.02,37.27,32.18,39,0,0.61,SA,1589608874
391,orocovis,18.23,-66.39,25,87,6,1.49,PR,1589609017
392,padang,-0.95,100.35,31.2,65,96,1.71,ID,1589608881
393,hirara,24.8,125.28,30,79,75,6.2,JP,1589609017
394,kinanah,,,,,,,,
395,haradok,55.46,29.98,8,65,40,5,BY,1589609018
396,ambilobe,-13.2,49.05,29.43,63,0,0.78,MG,1589609018
397,astoria,46.19,-123.83,13,76,75,2.11,US,1589608743
398,menongue,-14.66,17.69,12.63,48,15,1.21,AO,1589609018
399,acapulco,16.86,-99.89,27,74,40,2.1,MX,1589608855
400,scalloway,,,,,,,,
401,lompoc,34.64,-120.46,14.44,82,1,3.6,US,1589609019
402,trelew,-43.25,-65.31,18.73,53,79,7.39,AR,1589608962
403,bato,13.35,123.37,30.21,76,95,1.94,PH,1589609020
404,baruun-urt,46.68,113.28,9.23,50,91,5.58,MN,1589609020
405,tezu,27.92,96.17,35.2,31,44,2.14,IN,1589609020
406,half moon bay,37.46,-122.43,15,87,1,3.6,US,1589609021
407,oranjemund,-28.55,16.43,13.18,75,0,3.2,NA,1589609021
408,lianyuan,27.69,111.66,31.32,58,98,0.73,CN,1589609021
409,kabalo,-6.05,26.92,23.33,87,36,1.45,CD,1589609022
410,richards bay,-28.78,32.04,19.71,64,39,6.42,ZA,1589609022
411,saint anthony,45.02,-93.22,14.44,54,20,1.5,US,1589609022
412,drumnadrochit,57.33,-4.48,8.89,70,75,5.1,GB,1589609022
413,remontnoye,46.56,43.65,15,67,92,7,RU,1589609023
414,lerwick,60.15,-1.15,6,60,75,10.8,GB,1589609023
