,Cities,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
62,krasnyy chikoy,50.36,108.75,3.78,79,100,8.19,RU,1589600209
63,miyako,39.64,141.95,16.4,74,100,4.01,JP,1589600209
64,sitka,57.05,-135.33,12,76,40,1.07,US,1589600209
65,quixada,-4.97,-39.02,22.56,96,100,0.82,BR,1589600209
66,nipawin,53.37,-104,7,33,40,2.1,CA,1589600210
67,zaysan,47.47,84.87,20.8,39,97,4.7,KZ,1589600210
68,henties bay,-22.12,14.28,16.02,70,0,2.7,NA,1589600210
69,progreso,21.28,-89.67,29,74,5,6.7,MX,1589600092
70,leningradskiy,69.38,178.42,-0.73,96,28,1.34,RU,1589600210
71,galveston,29.37,-94.97,25.56,88,75,3.1,US,1589600210
72,georgetown,5.41,100.34,30,84,20,0.5,MY,1589599962
73,lilongwe,-13.97,33.79,13.23,69,0,1.19,MW,1589600211
74,yuzhno-kurilsk,44.03,145.86,7.08,85,100,7.04,RU,1589600211
75,klobuck,50.9,18.94,7.22,100,13,3.37,PL,1589600211
76,mount gambier,-37.83,140.77,15,54,0,5.7,AU,1589600211
77,xichang,27.9,102.26,28.16,38,24,0.87,CN,1589600212
78,sakakah,29.97,40.21,25,13,99,2.1,SA,1589600212
79,pong,19.15,100.28,33,55,0,2.6,TH,1589600212
80,lebu,-37.62,-73.65,13.31,93,63,2.59,CL,1589600212
81,qaanaaq,77.48,-69.36,-6.2,92,0,0.92,GL,1589600212
82,lata,40.16,-8.33,15.56,80,0,2.68,PT,1589600213
83,poum,-20.23,164.02,24.01,70,26,3.95,NC,1589600213
84,husavik,66.04,-17.34,-4,92,95,4.6,IS,1589600213
85,srednekolymsk,67.45,153.68,6.11,63,90,2.52,RU,1589600213
86,olinda,-8.01,-34.86,25,88,75,1,BR,1589600213
87,warrnambool,-38.38,142.48,15,64,0,5.28,AU,1589600214
88,kununurra,-15.77,128.73,31,22,96,4.6,AU,1589600214
89,assiniboia,49.63,-105.98,11.63,56,13,3.24,CA,1589600214
90,taolanaro,,,,,,,,
91,carnarvon,-24.87,113.63,27.95,21,0,3.4,AU,1589600214
92,katsuura,35.13,140.3,18.89,93,75,5.1,JP,1589600215
93,gimli,50.63,-96.99,6.11,76,54,3.36,CA,1589600215
94,biloela,-24.42,150.5,24.98,36,47,5.66,AU,1589600215
95,bluff,-46.6,168.33,11.84,80,45,3.88,NZ,1589600215
96,ribeira grande,38.52,-28.7,17.6,88,99,5.97,PT,1589600215
97,sentyabrskiy,,,,,,,,
98,smoky lake,54.12,-112.47,11.11,70,23,1.4,CA,1589600216
99,port alfred,-33.59,26.89,14.44,74,19,1.79,ZA,1589600216
100,te anau,-45.42,167.72,10.35,63,0,0.21,NZ,1589600216
101,pochutla,15.74,-96.47,28.33,76,8,1.92,MX,1589600142
102,svolvaer,68.23,14.57,2.22,74,99,1.79,NO,1589600217
103,bambous virieux,-20.34,57.76,23.33,93,20,3.1,MU,1589600217
104,lucapa,-8.42,20.74,16.79,59,0,1.92,AO,1589600217
105,tuatapere,-46.13,167.68,11.79,77,17,1.89,NZ,1589600217
106,canavieiras,-15.68,-38.95,23.17,91,57,0.8,BR,1589600218
107,dongsheng,39.82,109.98,13.07,30,0,10.82,CN,1589600218
108,bandarbeyla,9.49,50.81,29.39,73,0,8.89,SO,1589600218
109,hobart,-42.88,147.33,16.11,41,51,7.2,AU,1589600138
110,butaritari,3.07,172.79,28.62,75,99,3.89,KI,1589600218
111,hithadhoo,-0.6,73.08,29.38,75,71,7.84,MV,1589600219
112,hambantota,6.12,81.12,28.3,78,100,11.69,LK,1589600219
113,bergerac,44.83,0.5,12,81,0,1.5,FR,1589600219
114,anito,12.45,125.29,30.67,69,34,5.7,PH,1589600219
115,halmstad,56.67,12.86,9,76,95,10.8,SE,1589600219
116,saldanha,-33.01,17.94,9,81,50,1,ZA,1589600220
117,mundargi,15.22,75.9,32.78,37,83,2.75,IN,1589600220
118,tiksi,71.69,128.87,0.21,97,96,5.6,RU,1589600220
119,bredasdorp,-34.53,20.04,7,87,35,1.5,ZA,1589600220
120,west wendover,40.74,-114.07,17,29,90,3.76,US,1589600100
121,ivanteyevka,55.97,37.92,6,60,43,4,RU,1589600221
122,namibe,-15.2,12.15,23.39,62,0,2.2,AO,1589600221
123,steamboat springs,40.48,-106.83,7,100,90,1.41,US,1589600221
124,grindavik,63.84,-22.43,2,69,0,4.1,IS,1589600221
125,talnakh,69.49,88.4,4,64,57,10,RU,1589600221
126,kruisfontein,-34,24.73,10.19,85,28,3.56,ZA,1589600222
127,vanimo,-2.67,141.3,29.72,75,67,3.98,PG,1589600164
128,jining,35.41,116.58,31.23,31,97,6.82,CN,1589600222
129,tuktoyaktuk,69.45,-133.04,-4,92,90,6.2,CA,1589600222
130,tura,25.52,90.22,29.6,66,0,1,IN,1589599935
131,schubelbach,47.17,8.93,5,89,65,0.41,CH,1589600223
132,ulaanbaatar,47.91,106.88,1,50,75,8,MN,1589600223
133,maryborough,-25.53,152.7,22.78,69,50,5.36,AU,1589600223
134,palabuhanratu,,,,,,,,
135,arraial do cabo,-22.97,-42.03,21.61,76,100,3.47,BR,1589600223
136,kaitangata,-46.28,169.85,11.89,71,6,0.83,NZ,1589600224
137,ketchikan,55.34,-131.65,13,62,75,5.7,US,1589600224
138,dikson,73.51,80.55,-0.93,96,94,5.97,RU,1589600224
139,aswan,24.09,32.91,28.78,31,0,3.59,EG,1589600224
140,nueve de julio,-35.44,-60.88,15,67,0,0.89,AR,1589600224
141,barentsburg,,,,,,,,
142,tsihombe,,,,,,,,
143,ancud,-41.87,-73.82,16.11,100,90,6.7,CL,1589600225
144,dicabisagan,17.08,122.42,28.02,83,100,6.72,PH,1589600225
145,zhanaozen,43.3,52.8,14.94,43,50,4.3,KZ,1589600225
146,francisco sa,-16.48,-43.49,19.66,89,80,1.86,BR,1589600226
147,souillac,-20.52,57.52,19,93,20,3.1,MU,1589600226
148,mar del plata,-38,-57.56,14.44,81,0,4.1,AR,1589600056
149,faanui,-16.48,-151.75,28.21,73,0,2.91,PF,1589600226
150,pelym,61.01,62,12.9,39,95,1.23,RU,1589600226
151,longyearbyen,78.22,15.64,1,74,40,5.7,SJ,1589600081
152,jamestown,42.1,-79.24,13.89,100,90,4.1,US,1589600079
153,honningsvag,70.98,25.97,3.67,75,0,6.11,NO,1589600227
154,biak,-0.91,122.88,30.31,63,66,1.48,ID,1589600227
155,hella,67.2,14.43,3,59,75,5.7,NO,1589600227
156,hasaki,35.73,140.83,19,88,75,4.6,JP,1589600228
157,nalut,30.33,10.85,26.52,15,0,6.23,LY,1589600228
158,choix,26.71,-108.32,23.84,35,0,0.69,MX,1589600228
159,manggar,-2.88,108.27,29.38,78,77,5.37,ID,1589600228
160,choma,-16.81,26.95,12.27,62,0,2.31,ZM,1589600228
161,bengkulu,-3.8,102.27,31.06,59,28,2.24,ID,1589600229
162,mahebourg,-20.41,57.7,19,93,20,3.1,MU,1589600229
163,vestmannaeyjar,63.44,-20.27,5.05,71,12,5.43,IS,1589600229
164,marcona,,,,,,,,
165,bilibino,68.05,166.44,3.67,73,0,2.23,RU,1589600229
166,bethel,41.37,-73.41,18,93,90,3.78,US,1589600230
167,dillon,34.42,-79.37,19.44,88,1,1.5,US,1589600230
168,grand river south east,,,,,,,,
169,ribas do rio pardo,-20.44,-53.76,16.63,90,64,2.66,BR,1589600230
170,new norfolk,-42.78,147.06,16.11,71,69,1.79,AU,1589599936
171,aykhal,66,111.5,8,49,90,4,RU,1589600231
172,beeskow,52.17,14.25,7.78,80,4,0.45,DE,1589600231
173,ust-kut,56.79,105.77,11.09,43,71,3.54,RU,1589600231
174,buala,-8.14,159.59,29.68,67,64,1.2,SB,1589600231
175,kindersley,51.47,-109.17,11,32,20,3.1,CA,1589600231
176,galle,6.04,80.22,26.85,89,100,6.3,LK,1589600232
177,vestmanna,62.16,-7.17,3,69,88,9.8,FO,1589600232
178,maralal,1.1,36.7,14.66,95,69,1.26,KE,1589600232
179,naze,28.37,129.48,26,88,75,6.7,JP,1589600232
180,tabas,33.6,56.92,26.06,17,0,0.69,IR,1589600072
181,mount pleasant,32.79,-79.86,21.11,100,71,3.27,US,1589600232
182,karamea,,,,,,,,
183,verkhnevilyuysk,63.45,120.32,18.16,35,21,3.27,RU,1589600233
184,codrington,-38.27,141.97,15.25,49,0,4.11,AU,1589600233
185,nizhneyansk,,,,,,,,
186,awjilah,29.11,21.29,22.45,28,0,3.51,LY,1589600233
187,clyde river,70.47,-68.59,-8,100,90,3.1,CA,1589600234
188,bitkine,11.98,18.21,28.44,24,38,1.86,TD,1589600234
189,nikolskoye,59.7,30.79,2.22,81,92,2,RU,1589600234
190,senneterre,48.38,-77.23,7,93,90,3.1,CA,1589600234
191,buguruslan,53.66,52.44,7.7,83,98,6.1,RU,1589600234
192,narsaq,60.92,-46.05,4,69,100,0.5,GL,1589600235
193,juba,4.85,31.58,22.66,93,100,2.01,SS,1589600235
194,belushya guba,,,,,,,,
195,gargzdai,55.71,21.4,8,81,24,4.6,LT,1589600235
196,marsh harbour,26.54,-77.06,26.16,81,100,7.51,BS,1589600113
197,cherskiy,68.75,161.3,8.57,54,0,3.42,RU,1589600236
198,mys shmidta,,,,,,,,
199,iqaluit,63.75,-68.51,-1,80,40,1.5,CA,1589600236
200,mayor pablo lagerenza,-19.93,-60.77,14.34,42,6,1.6,PY,1589600236
201,cascais,38.7,-9.42,15.56,93,0,2.71,PT,1589599992
202,muyezerskiy,63.93,31.65,3.17,73,54,1.01,RU,1589600237
203,esperance,-33.87,121.9,17,67,90,5.7,AU,1589600237
204,camacha,33.08,-16.33,17,59,40,7.2,PT,1589600015
205,norman wells,65.28,-126.83,1,86,90,6.7,CA,1589600237
206,muskegon,43.3,-86.13,14,62,1,1.5,US,1589600237
207,bridlington,54.08,-0.19,7,81,99,3.1,GB,1589600238
208,coihaique,-45.58,-72.07,12,81,100,2.1,CL,1589600205
209,xining,36.62,101.77,17.89,27,0,1.67,CN,1589600238
210,jumla,29.27,82.18,19.97,28,0,1.81,NP,1589600238
211,san andres,12.58,-81.7,28,83,20,3.1,CO,1589600238
212,astana,51.18,71.45,20.56,68,0,5,KZ,1589600239
213,kavieng,-2.57,150.8,29.67,78,38,6.6,PG,1589600239
214,trenggalek,-8.05,111.72,28.54,75,75,3.55,ID,1589599941
215,alotau,,,,,,,,
216,cabo san lucas,22.89,-109.91,25,65,0,5.99,MX,1589599989
217,itarema,-2.92,-39.92,25.02,89,100,3.39,BR,1589600240
218,esil,51.96,66.4,18.92,57,2,5.5,KZ,1589600240
219,port elizabeth,-33.92,25.57,13,71,18,3.6,ZA,1589600240
220,khatanga,71.97,102.5,2.07,88,55,3.94,RU,1589600240
221,mascota,20.52,-104.78,17.17,32,22,0.8,MX,1589600240
222,ambanja,-13.68,48.45,24.39,86,50,0.61,MG,1589600241
223,kuito,-12.38,16.93,10.3,55,17,1.61,AO,1589600241
224,hearst,49.68,-83.67,3.64,96,5,1.46,CA,1589600214
225,asau,46.43,26.4,11.11,81,62,5.1,RO,1589600241
226,biltine,14.53,20.92,26.04,15,3,3.97,TD,1589600241
227,buta,2.79,24.73,20.52,98,95,0.4,CD,1589600242
228,nanortalik,60.14,-45.24,3.24,91,100,4.72,GL,1589599993
229,yellowknife,62.46,-114.35,0,86,90,5.7,CA,1589600242
230,torbay,47.67,-52.73,2.22,97,90,3.6,CA,1589600242
231,atbasar,51.8,68.33,19.24,59,32,5.77,KZ,1589600242
232,constitucion,-35.33,-72.42,15,87,16,3.8,CL,1589600243
233,trairi,-3.28,-39.27,24.05,95,100,2.94,BR,1589600243
234,samusu,,,,,,,,
235,timmins,48.47,-81.33,5,100,75,2.6,CA,1589600237
236,tchaourou,8.89,2.6,23.74,94,68,2.41,BJ,1589600243
237,cidreira,-30.18,-50.21,12.53,73,40,4.52,BR,1589600244
238,hilton head island,32.22,-80.75,22.78,88,90,2.1,US,1589600244
239,boke,10.94,-14.3,25.78,78,0,1.33,GN,1589600244
240,dargaville,-35.93,173.88,16.32,81,92,2.11,NZ,1589599984
241,belyy yar,53.6,91.39,14,47,100,2,RU,1589600244
242,erenhot,43.65,111.98,9.55,43,6,11.88,CN,1589600245
243,bargal,,,,,,,,
244,mayo,38.89,-76.51,24,64,20,4.1,US,1589600163
245,vung tau,10.35,107.08,30.26,69,97,3.2,VN,1589600245
246,dno,57.83,29.96,5.12,93,97,3.29,RU,1589600245
247,zheleznodorozhnyy,55.75,38,6,60,21,2,RU,1589600246
248,port hardy,50.7,-127.42,15,51,90,3.1,CA,1589600246
249,pacific grove,36.62,-121.92,14.44,86,76,2.68,US,1589600011
250,sao paulo do potengi,-5.89,-35.76,24,100,75,1.5,BR,1589600246
251,abu samrah,35.3,37.18,26.72,23,0,1,SY,1589600246
252,bucelas,38.9,-9.12,15,87,20,3.1,PT,1589600247
253,balikpapan,-1.27,116.83,29.46,81,44,2.86,ID,1589600247
254,tornio,65.85,24.15,1,74,75,3.1,FI,1589600247
255,saint george,37.1,-113.58,27,23,1,3.6,US,1589600168
256,komsomolskiy,40.43,71.72,20,52,100,2.1,UZ,1589600247
257,galesong,-5.32,119.37,31,70,20,2.1,ID,1589600248
258,ulagan,50.63,87.96,20.97,36,100,0.98,RU,1589600248
259,kodiak,57.79,-152.41,8,87,90,7.7,US,1589600143
260,caucaia,-3.74,-38.65,25,94,75,1,BR,1589600248
261,tumannyy,,,,,,,,
262,rapar,23.57,70.63,31.21,57,0,6.47,IN,1589600249
263,ferme-neuve,46.7,-75.45,7.67,95,98,2.12,CA,1589600249
264,lolua,,,,,,,,
265,geraldton,-28.77,114.6,22,53,95,3.6,AU,1589600199
266,volchansk,59.94,60.08,10.79,46,99,2.3,RU,1589600249
267,ust-kamchatsk,,,,,,,,
268,sao joao da barra,-21.64,-41.05,21.79,80,100,2.76,BR,1589600250
269,pevek,69.7,170.31,-0.03,95,0,1.66,RU,1589600250
270,eskasem,,,,,,,,
271,lorengau,-2.02,147.27,27.53,82,100,3.56,PG,1589600206
272,lithakia,37.72,20.83,20.56,71,76,1.94,GR,1589600251
273,warburton,31.55,73.83,27,57,0,2.26,PK,1589600251
274,davila,18.47,120.58,26,94,90,6.2,PH,1589600251
275,yerbogachen,61.28,108.01,7.47,71,100,0.96,RU,1589600174
276,rio gallegos,-51.62,-69.22,3,93,50,9.8,AR,1589600107
277,hefei,31.86,117.28,26,74,0,1,CN,1589600252
278,barguzin,53.62,109.62,7.05,61,100,1.28,RU,1589600252
279,kaputa,-8.47,29.66,19.6,77,3,1.74,ZM,1589600252
280,hamilton,39.18,-84.53,19,100,1,1.17,US,1589600252
281,vila franca do campo,37.72,-25.43,15,87,75,2.6,PT,1589600138
282,homer,59.64,-151.55,12,58,1,5.7,US,1589600253
283,klaksvik,62.23,-6.59,3,69,94,9.8,FO,1589600213
284,svetlyy,54.67,20.13,9,76,40,6,RU,1589600253
285,scottsburgh,,,,,,,,
286,port lincoln,-34.73,135.87,17.04,43,0,2.45,AU,1589600253
287,taksimo,56.34,114.88,5.83,78,100,0.55,RU,1589600254
288,chemal,51.41,86,15.27,75,100,1.12,RU,1589600254
289,topeka,39.05,-95.68,18.33,82,1,3.1,US,1589600254
290,mayya,61.73,130.28,18,25,0,2,RU,1589600254
291,lagoa,39.05,-27.98,17.5,91,96,4.6,PT,1589600254
292,ambam,2.38,11.28,20.68,98,75,0.5,CM,1589600255
293,saint-georges,12.06,-61.75,28,74,40,6.2,GD,1589600255
294,kyabe,9.45,18.94,26.96,67,51,3.04,TD,1589600255
295,port hedland,-20.32,118.57,30,7,0,9.3,AU,1589600255
296,donskoye,45.46,41.97,17,63,35,2,RU,1589600255
297,blagoyevo,63.37,47.92,5.97,65,100,0.89,RU,1589600256
298,san juan,-31.54,-68.54,15.74,33,19,1.74,AR,1589600098
299,mondeville,49.17,-0.32,3,100,0,2.1,FR,1589600256
300,griffith,41.53,-87.42,18,77,1,2.9,US,1589600250
301,dali,25.7,100.18,24.23,39,9,2.56,CN,1589600256
302,lamu,-2.27,40.9,26.31,79,37,6.54,KE,1589600256
303,kloulklubed,7.04,134.26,28.65,78,98,6.02,PW,1589600257
304,shenzhen,22.55,114.07,32.78,69,27,0.89,CN,1589600257
305,belfast,54.58,-5.93,7.22,81,100,3.6,GB,1589600257
306,ler,8.3,30.14,25.84,65,0,2.05,SS,1589600257
307,arlit,18.74,7.39,29.58,12,0,4.48,NE,1589600214
308,victor harbor,-35.57,138.62,17.22,46,0,2.94,AU,1589600258
309,alofi,-19.06,-169.92,28,74,91,3.6,NU,1589600237
310,tahe,52.33,124.73,17.32,40,31,4.39,CN,1589600258
311,sioux lookout,50.1,-91.92,10,66,75,1.5,CA,1589600220
312,newport,51.59,-3,10,82,99,1.09,GB,1589600258
313,kuche,,,,,,,,
314,lavrentiya,65.58,-171,1.25,88,4,4.62,RU,1589600259
315,den helder,52.96,4.76,10,76,75,4.1,NL,1589600259
316,gogrial,8.53,28.1,26.41,65,14,2.08,SS,1589600259
317,mocuba,-16.84,36.99,15.76,97,3,1.24,MZ,1589600259
318,shakawe,-18.37,21.85,12.06,43,0,1.57,BW,1589600260
319,russell,32.35,-85.2,22,93,1,1.77,US,1589600260
320,haines junction,60.75,-137.51,13.37,42,44,2.68,CA,1589600260
321,sibolga,1.74,98.78,32.01,59,100,1.21,ID,1589600260
322,gat,31.61,34.76,26.11,42,79,3.37,IL,1589600043
323,thinadhoo,0.53,72.93,29.37,75,46,7.96,MV,1589600261
324,kathmandu,27.72,85.32,23,78,75,1.5,NP,1589600201
325,lake wales,27.9,-81.59,23,88,75,4.1,US,1589600261
326,paducah,37.08,-88.6,21,88,1,1.56,US,1589600261
327,malakal,9.53,31.66,28.09,55,16,2.09,SS,1589600261
328,aiken,33.58,-81.6,20.56,72,1,2.6,US,1589600262
329,pucallpa,-8.38,-74.55,20.83,91,62,0.9,PE,1589600262
330,praya,14.92,-23.51,21,77,20,6.2,CV,1589600262
331,zeya,53.75,127.27,18.3,28,83,1.83,RU,1589600262
332,labuhan,-6.88,112.21,30.21,68,50,1.78,ID,1589600262
333,sri aman,1.24,111.46,31,79,75,1,MY,1589600263
334,khormuj,,,,,,,,
335,pringsewu,-5.36,104.97,30.81,67,34,2.09,ID,1589600263
336,chagda,,,,,,,,
337,eydhafushi,5.1,73.07,29.09,74,87,7.92,MV,1589600264
338,kangaatsiaq,68.31,-53.46,0.96,92,0,4.23,GL,1589600264
339,ilulissat,69.22,-51.1,-1,100,0,1,GL,1589600264
340,languyan,5.26,120.08,31.31,66,83,2.65,PH,1589600264
341,lugovoy,42.95,72.76,17.95,59,39,1.63,KZ,1589600264
342,afantou,36.29,28.16,24.44,73,0,3.6,GR,1589600265
343,saint-pierre,-21.34,55.48,23,64,90,2.6,RE,1589600265
344,baykit,61.67,96.37,11.97,39,100,4.71,RU,1589600265
345,alvaraes,-3.22,-64.8,23.2,97,92,0.65,BR,1589600265
346,kutum,14.2,24.67,18.82,24,9,0.93,SD,1589600265
347,lodja,-3.48,23.43,21.46,93,92,0.89,CD,1589600266
348,cap malheureux,-19.98,57.61,23.33,78,1,0.89,MU,1589600266
349,chicama,-7.84,-79.15,20.81,80,64,2.63,PE,1589600266
350,jahrom,,,,,,,,
351,martapura,-3.42,114.85,32,66,20,4.1,ID,1589600266
352,habra,22.83,88.63,32,75,0,4.6,IN,1589600267
353,calama,-22.47,-68.93,7,12,0,8.2,CL,1589600267
354,katha,,,,,,,,
355,bandon,51.75,-8.74,7.22,81,40,3.1,IE,1589600267
356,san antonio,29.42,-98.49,27,83,90,5.1,US,1589600110
357,ust-ilimsk,58,102.66,11.48,39,0,2.23,RU,1589600268
358,fairbanks,64.84,-147.72,18,23,1,4.6,US,1589599997
359,umzimvubu,,,,,,,,
360,morant bay,17.88,-76.41,28,74,20,10.3,JM,1589600268
361,dingle,11,122.67,33.64,53,73,2.71,PH,1589600268
362,rockland,41.17,-74.05,18.33,93,74,4.34,US,1589600269
363,chifeng,42.27,118.96,21.41,45,75,6.73,CN,1589600269
364,luanda,-8.84,13.23,26,88,75,1.5,AO,1589600233
365,los lunas,34.81,-106.73,24,13,1,3.1,US,1589600269
366,tasiilaq,65.61,-37.64,2,64,100,5.1,GL,1589600269
367,alunitdag,,,,,,,,
368,ames,42.03,-93.62,16,76,1,2.4,US,1589600167
369,pisco,-13.7,-76.22,18,88,90,3.6,PE,1589600270
370,sai buri,6.7,101.62,32,70,20,4.1,TH,1589600270
371,gulshat,,,,,,,,
372,kahama,-3.83,32.6,16.92,96,17,1.67,TZ,1589600271
373,amderma,,,,,,,,
374,coahuayana,18.73,-103.68,22.02,70,0,1.01,MX,1589600271
375,bucerias,20.75,-105.33,20.84,64,1,1.36,MX,1589600271
376,sur,22.57,59.53,28.71,60,0,2.48,OM,1589600271
377,puerto escondido,15.85,-97.07,28.85,70,8,1.76,MX,1589600272
378,san patricio,19.22,-104.7,21.78,76,0,1.98,MX,1589600272
379,fort nelson,58.81,-122.7,14,44,75,4.1,CA,1589600272
380,nguruka,-5.11,31.04,17.3,96,24,0.75,TZ,1589600272
381,idritsa,56.33,28.9,4.18,89,95,4.51,RU,1589600272
382,mayabon,9.1,123.17,30,79,75,4.1,PH,1589600273
383,ouesso,1.61,16.05,21.87,96,86,0.56,CG,1589600273
384,peterhead,57.51,-1.8,8.33,70,100,5.1,GB,1589600273
385,zhigansk,66.77,123.37,9.49,66,0,3.33,RU,1589600273
386,evensk,61.95,159.23,5.14,68,53,10.57,RU,1589600112
387,grand gaube,-20.01,57.66,23.33,78,1,0.89,MU,1589600274
388,saint-joseph,-21.37,55.62,23,64,90,2.6,RE,1589600212
389,carmelo,-33.99,-58.29,18,76,0,3.1,UY,1589600274
390,umm lajj,25.02,37.27,30,43,0,1.25,SA,1589600274
391,orocovis,18.23,-66.39,25,86,4,1.47,PR,1589600274
392,padang,-0.95,100.35,31.17,64,94,1.84,ID,1589600275
393,hirara,24.8,125.28,31,79,75,8.2,JP,1589600275
394,kinanah,,,,,,,,
395,haradok,55.46,29.98,5.41,83,67,4.66,BY,1589600275
396,ambilobe,-13.2,49.05,23.27,86,0,0.99,MG,1589600275
397,astoria,46.19,-123.83,13.89,71,1,0.85,US,1589600219
398,menongue,-14.66,17.69,9.82,49,16,0.5,AO,1589600276
399,acapulco,16.86,-99.89,27,74,40,2.6,MX,1589600273
400,scalloway,,,,,,,,
401,lompoc,34.64,-120.46,14,76,1,7.2,US,1589600247
402,trelew,-43.25,-65.31,19.47,50,90,7.17,AR,1589600277
403,bato,13.35,123.37,30.92,70,99,2.96,PH,1589600277
404,baruun-urt,46.68,113.28,7.24,57,88,5.24,MN,1589600277
405,tezu,27.92,96.17,33.2,35,55,1.92,IN,1589600277
406,half moon bay,37.46,-122.43,17,87,1,5.1,US,1589600169
407,oranjemund,-28.55,16.43,12.62,81,0,2.98,NA,1589600278
408,lianyuan,27.69,111.66,29.8,63,97,0.64,CN,1589600278
409,kabalo,-6.05,26.92,20.62,95,25,0.94,CD,1589600278
410,richards bay,-28.78,32.04,19.65,68,52,7.04,ZA,1589600199
411,saint anthony,45.02,-93.22,16.11,44,1,1.5,US,1589600278
412,drumnadrochit,57.33,-4.48,8,70,20,3.6,GB,1589600279
413,remontnoye,46.56,43.65,12,76,88,6,RU,1589600279
414,lerwick,60.15,-1.15,6,56,95,11.3,GB,1589600279
415,klyuchi,52.27,79.17,20.63,47,38,7.22,RU,1589600279
416,bolonchen,,,,,,,,
